,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,2128,Z13 - Lote N,1,224,"43,8",988,"605,970529","29,3","1,7","0,87","8,58",2025-06-20,2025-07-11
,2129,Z13 - Lote N,1,255,"38,4",988,"604,2187094","27,5","1,6","0,86","8,24",2025-06-20,2025-07-11
,2130,Z19 - Lote D,1,336,"22,6",986,"601,5987449","22,2","1,1","0,80","6,92",2025-05-25,2025-07-11
,2131,Z19 - Lote D,1,289,"33,0",974,"602,8337849","25,7","1,4","0,84","7,86",2025-06-20,2025-07-11
,2132,Z13 - Lote N,1,305,"22,0",960,"602,3381075","22,0","1,1","0,80","6,86",2025-06-20,2025-07-11
,2134,Z19 - Lote D,1,214,"23,0",949,"606,6526163","22,4","1,1","0,80","6,94",2025-06-20,2025-07-11
,2135,Z13 - Lote N,1,187,"43,8",938,"608,8068308","29,4","1,7","0,87","8,57",2025-06-20,2025-07-11
,2136,Z13 - Lote N,1,231,"42,8",937,"605,5284742","29,0","1,6","0,87","8,52",2025-06-20,2025-07-11
,2137,Z13 - Lote N,1,264,"36,8",934,"603,802841","27,0","1,5","0,85","8,13",2025-06-20,2025-07-11
,2141,Z13 - Lote N,1,110,"31,9",911,"616,9372473","25,6","1,4","0,84","7,71",2025-06-20,2025-07-11
,2143,Z13 - Lote N,1,211,"38,2",910,"606,8691682","27,5","1,5","0,86","8,22",2025-06-20,2025-07-11
,2144,Z13 - Lote N,1,247,"32,4",908,"604,62152","25,5","1,4","0,84","7,80",2025-06-20,2025-07-11
